Stazione, Milano - ModAria
-999 Valore mancante o invalido

Data/Ora, Particelle sospese PM2.5 - µg/m³
2020/05/01,10
2020/05/02,8
2020/05/03,7
2020/05/04,9
2020/05/05,10
2020/05/06,13
2020/05/07,12
2020/05/08,16
2020/05/09,11
2020/05/10,13
2020/05/11,8
2020/05/12,8
2020/05/13,11
2020/05/14,16
2020/05/15,7
2020/05/16,13
2020/05/17,9
2020/05/18,14
2020/05/19,10
2020/05/20,15
2020/05/21,14
2020/05/22,17
2020/05/23,10
2020/05/24,9
2020/05/25,10
2020/05/26,9
2020/05/27,10
2020/05/28,14
2020/05/29,10
2020/05/30,13
2020/05/31,11
2020/06/01,14
2020/06/02,13
2020/06/03,10
2020/06/04,7
2020/06/05,6
2020/06/06,9
2020/06/07,14
2020/06/08,6
2020/06/09,6
2020/06/10,10
2020/06/11,14
2020/06/12,14
2020/06/13,9
2020/06/14,8
2020/06/15,12
2020/06/16,11
2020/06/17,14
2020/06/18,7
2020/06/19,6
2020/06/20,8
2020/06/21,4
2020/06/22,9
2020/06/23,10
2020/06/24,9
2020/06/25,9
2020/06/26,9
2020/06/27,16
2020/06/28,13
2020/06/29,10
2020/06/30,11
2020/07/01,12
2020/07/02,11
2020/07/03,7
2020/07/04,6
2020/07/05,10
2020/07/06,14
2020/07/07,7
2020/07/08,10
2020/07/09,16
2020/07/10,18
2020/07/11,10
2020/07/12,5
2020/07/13,-999
2020/07/14,11
2020/07/15,13
2020/07/16,12
2020/07/17,13
2020/07/18,6
2020/07/19,8
2020/07/20,9
2020/07/21,10
2020/07/22,9
2020/07/23,-999
2020/07/24,-999
2020/07/25,10
2020/07/26,9
2020/07/27,15
2020/07/28,-999
2020/07/29,18
2020/07/30,15
2020/07/31,16
2020/08/01,18
2020/08/02,9
2020/08/03,5
2020/08/04,4
2020/08/05,6
2020/08/06,9
2020/08/07,15
2020/08/08,16
2020/08/09,16
2020/08/10,-999
2020/08/11,15
2020/08/12,18
2020/08/13,13
2020/08/14,12
2020/08/15,10
2020/08/16,9
2020/08/17,8
2020/08/18,11
2020/08/19,10
2020/08/20,13
2020/08/21,-999
2020/08/22,11
2020/08/23,7
2020/08/24,6
2020/08/25,-999
2020/08/26,13
2020/08/27,16
2020/08/28,14
2020/08/29,8
2020/08/30,5
2020/08/31,-999
2020/09/01,8
2020/09/02,6
2020/09/03,10
2020/09/04,17
2020/09/05,18
2020/09/06,7
2020/09/07,7
2020/09/08,11
2020/09/09,18
2020/09/10,21
2020/09/11,20
2020/09/12,19
2020/09/13,22
2020/09/14,21
2020/09/15,23
2020/09/16,28
2020/09/17,20
2020/09/18,20
2020/09/19,16
2020/09/20,21
2020/09/21,26
2020/09/22,7
2020/09/23,9
2020/09/24,12
2020/09/25,7
2020/09/26,4
2020/09/27,4
2020/09/28,10
2020/09/29,14
2020/09/30,11
2020/10/01,15
2020/10/02,12
2020/10/03,3
2020/10/04,3
2020/10/05,7
2020/10/06,15
2020/10/07,10
2020/10/08,12
2020/10/09,19
2020/10/10,21
2020/10/11,3
2020/10/12,4
2020/10/13,12
2020/10/14,18
2020/10/15,17
2020/10/16,17
2020/10/17,24
2020/10/18,32
2020/10/19,32
2020/10/20,23
2020/10/21,31
2020/10/22,25
2020/10/23,34
2020/10/24,32
2020/10/25,32
2020/10/26,9
2020/10/27,5
2020/10/28,14
2020/10/29,26
2020/10/30,36
2020/10/31,47
2020/11/01,24
2020/11/02,30
2020/11/03,37
2020/11/04,35
2020/11/05,38
