Stazione, Milano - Pascal Città Studi
-999 Valore mancante o invalido

Data/Ora, PM10  - µg/m³
2020/05/01,12
2020/05/02,9
2020/05/03,8
2020/05/04,12
2020/05/05,13
2020/05/06,18
2020/05/07,16
2020/05/08,21
2020/05/09,16
2020/05/10,15
2020/05/11,11
2020/05/12,10
2020/05/13,14
2020/05/14,20
2020/05/15,9
2020/05/16,18
2020/05/17,12
2020/05/18,21
2020/05/19,18
2020/05/20,19
2020/05/21,18
2020/05/22,22
2020/05/23,15
2020/05/24,11
2020/05/25,11
2020/05/26,13
2020/05/27,12
2020/05/28,18
2020/05/29,10
2020/05/30,16
2020/05/31,12
2020/06/01,16
2020/06/02,14
2020/06/03,13
2020/06/04,9
2020/06/05,8
2020/06/06,14
2020/06/07,4
2020/06/08,7
2020/06/09,9
2020/06/10,-999
2020/06/11,-999
2020/06/12,-999
2020/06/13,12
2020/06/14,10
2020/06/15,16
2020/06/16,12
2020/06/17,9
2020/06/18,10
2020/06/19,11
2020/06/20,12
2020/06/21,11
2020/06/22,15
2020/06/23,11
2020/06/24,14
2020/06/25,13
2020/06/26,18
2020/06/27,25
2020/06/28,17
2020/06/29,-999
2020/06/30,-999
2020/07/01,20
2020/07/02,16
2020/07/03,10
2020/07/04,11
2020/07/05,17
2020/07/06,20
2020/07/07,16
2020/07/08,18
2020/07/09,26
2020/07/10,28
2020/07/11,18
2020/07/12,11
2020/07/13,-999
2020/07/14,-999
2020/07/15,-999
2020/07/16,-999
2020/07/17,-999
2020/07/18,11
2020/07/19,11
2020/07/20,17
2020/07/21,21
2020/07/22,10
2020/07/23,16
2020/07/24,15
2020/07/25,15
2020/07/26,-999
2020/07/27,18
2020/07/28,27
2020/07/29,26
2020/07/30,-999
2020/07/31,27
2020/08/01,28
2020/08/02,15
2020/08/03,8
2020/08/04,6
2020/08/05,10
2020/08/06,16
2020/08/07,23
2020/08/08,26
2020/08/09,26
2020/08/10,28
2020/08/11,23
2020/08/12,32
2020/08/13,21
2020/08/14,19
2020/08/15,15
2020/08/16,15
2020/08/17,15
2020/08/18,20
2020/08/19,19
2020/08/20,21
2020/08/21,28
2020/08/22,23
2020/08/23,12
2020/08/24,14
2020/08/25,18
2020/08/26,23
2020/08/27,27
2020/08/28,23
2020/08/29,13
2020/08/30,10
2020/08/31,11
2020/09/01,11
2020/09/02,12
2020/09/03,17
2020/09/04,24
2020/09/05,23
2020/09/06,16
2020/09/07,10
2020/09/08,17
2020/09/09,27
2020/09/10,32
2020/09/11,31
2020/09/12,31
2020/09/13,30
2020/09/14,37
2020/09/15,36
2020/09/16,40
2020/09/17,34
2020/09/18,45
2020/09/19,30
2020/09/20,32
2020/09/21,40
2020/09/22,17
2020/09/23,13
2020/09/24,19
2020/09/25,10
2020/09/26,6
2020/09/27,8
2020/09/28,13
2020/09/29,23
2020/09/30,27
2020/10/01,35
2020/10/02,18
2020/10/03,9
2020/10/04,7
2020/10/05,12
2020/10/06,22
2020/10/07,14
2020/10/08,33
2020/10/09,40
2020/10/10,36
2020/10/11,7
2020/10/12,27
2020/10/13,36
2020/10/14,28
2020/10/15,21
2020/10/16,20
2020/10/17,29
2020/10/18,36
2020/10/19,51
2020/10/20,66
2020/10/21,52
2020/10/22,32
2020/10/23,50
2020/10/24,41
2020/10/25,43
2020/10/26,13
2020/10/27,11
2020/10/28,26
2020/10/29,36
2020/10/30,56
2020/10/31,63
2020/11/01,31
2020/11/02,38
2020/11/03,49
2020/11/04,-999
2020/11/05,53
2020/11/06,57
2020/11/07,55
2020/11/08,44
2020/11/09,52
2020/11/10,74
2020/11/11,60
2020/11/12,70
2020/11/13,81
2020/11/14,83
2020/11/15,67
2020/11/16,48
2020/11/17,51
2020/11/18,43
2020/11/19,50
2020/11/20,29
2020/11/21,20
2020/11/22,24
2020/11/23,47
2020/11/24,71
2020/11/25,86
2020/11/26,98
2020/11/27,101
2020/11/28,86
2020/11/29,71
2020/11/30,42
2020/12/01,36
2020/12/02,16
2020/12/03,26
2020/12/04,16
2020/12/05,17
2020/12/06,20
2020/12/07,22
2020/12/08,13
2020/12/09,15
2020/12/10,28
2020/12/11,38
2020/12/12,43
2020/12/13,42
2020/12/14,60
2020/12/15,64
2020/12/16,48
2020/12/17,55
2020/12/18,76
2020/12/19,70
2020/12/20,35
2020/12/21,43
2020/12/22,43
2020/12/23,49
2020/12/24,19
2020/12/25,11
2020/12/26,12
2020/12/27,29
2020/12/28,19
2020/12/29,38
2020/12/30,50
2020/12/31,56
2021/01/01,51
2021/01/02,15
2021/01/03,14
2021/01/04,14
2021/01/05,18
2021/01/06,12
2021/01/07,27
2021/01/08,32
2021/01/09,35
2021/01/10,27
2021/01/11,37
2021/01/12,45
2021/01/13,40
2021/01/14,56
2021/01/15,27
2021/01/16,41
2021/01/17,65
2021/01/18,98
2021/01/19,90
2021/01/20,79
2021/01/21,58
2021/01/22,35
2021/01/23,13
2021/01/24,-999
2021/01/25,19
2021/01/26,11
2021/01/27,29
2021/01/28,34
2021/01/29,58
2021/01/30,35
2021/01/31,30
2021/02/01,22
2021/02/02,53
2021/02/03,43
2021/02/04,35
2021/02/05,45
2021/02/06,49
2021/02/07,13
