Id Sensore,Data-Ora,Valore Medio Giornaliero, Minimo Valore Medio Orario, Massimo Valore Medio Orario
2001,2020/05/01,15.7,12.2,20.5
2001,2020/05/02,19.0,9.6,26.1
2001,2020/05/03,19.4,13.1,24.5
2001,2020/05/04,19.2,13.2,25.1
2001,2020/05/05,18.8,11.6,24.4
2001,2020/05/06,18.3,12.6,23.2
2001,2020/05/07,18.4,10.5,25.3
2001,2020/05/08,21.0,11.9,27.8
2001,2020/05/09,21.5,12.5,28.1
2001,2020/05/10,20.9,16.6,27.0
2001,2020/05/11,14.9,13.4,17.4
2001,2020/05/12,17.9,12.8,24.3
2001,2020/05/13,14.4,13.1,15.4
2001,2020/05/14,19.5,14.6,24.8
2001,2020/05/15,17.6,13.9,22.9
2001,2020/05/16,18.6,14.8,23.2
2001,2020/05/17,19.5,14.6,25.2
2001,2020/05/18,22.2,16.6,27.1
2001,2020/05/19,19.7,16.1,25.0
2001,2020/05/20,21.5,14.7,27.6
2001,2020/05/21,22.0,17.0,27.6
2001,2020/05/22,23.1,16.8,28.9
2001,2020/05/23,22.5,18.1,27.9
2001,2020/05/24,20.6,13.0,26.1
2001,2020/05/25,21.5,14.7,27.3
2001,2020/05/26,20.2,14.8,25.3
2001,2020/05/27,20.0,14.7,25.5
2001,2020/05/28,20.9,12.9,26.8
2001,2020/05/29,18.5,14.1,22.6
2001,2020/05/30,19.8,14.9,24.2
2001,2020/05/31,19.1,14.4,24.5
2001,2020/06/01,21.3,15.2,27.6
2001,2020/06/02,21.7,15.2,29.8
2001,2020/06/03,20.5,13.6,27.1
2001,2020/06/04,16.1,14.9,17.7
2001,2020/06/05,20.5,13.1,26.9
2001,2020/06/06,21.4,14.4,26.9
2001,2020/06/07,17.6,14.6,19.8
2001,2020/06/08,17.1,13.8,23.1
2001,2020/06/09,18.2,13.2,22.9
2001,2020/06/10,17.5,12.8,22.5
2001,2020/06/11,17.3,14.4,21.7
2001,2020/06/12,20.4,14.6,25.2
2001,2020/06/13,20.2,14.6,27.1
2001,2020/06/14,21.6,16.4,27.8
2001,2020/06/15,21.6,15.9,27.1
2001,2020/06/16,21.9,17.7,26.9
2001,2020/06/17,19.5,15.4,23.8
2001,2020/06/18,20.8,14.7,26.2
2001,2020/06/19,20.9,15.3,27.4
2001,2020/06/20,22.0,13.0,28.3
2001,2020/06/21,24.9,16.4,30.7
2001,2020/06/22,25.5,15.6,31.6
2001,2020/06/23,26.2,18.5,32.6
2001,2020/06/24,25.8,18.9,31.0
2001,2020/06/25,24.8,20.9,29.5
2001,2020/06/26,25.0,19.8,30.0
2001,2020/06/27,26.1,19.8,31.1
2001,2020/06/28,27.0,19.0,32.7
2001,2020/06/29,27.6,21.6,32.8
2001,2020/06/30,26.6,21.7,32.0
2001,2020/07/01,26.0,21.3,31.9
2001,2020/07/02,26.3,20.3,32.5
2001,2020/07/03,23.3,16.6,30.9
2001,2020/07/04,23.6,16.9,29.9
2001,2020/07/05,25.5,17.9,31.5
2001,2020/07/06,27.7,20.1,32.8
2001,2020/07/07,23.8,19.9,26.9
2001,2020/07/08,24.1,19.1,29.3
2001,2020/07/09,25.2,17.4,31.3
2001,2020/07/10,27.0,18.9,32.9
2001,2020/07/11,25.3,20.5,31.2
2001,2020/07/12,23.8,17.6,28.2
2001,2020/07/13,23.0,19.3,27.3
2001,2020/07/14,22.7,17.9,26.9
2001,2020/07/15,22.2,17.5,28.1
2001,2020/07/16,23.8,16.1,30.3
2001,2020/07/17,24.3,19.9,28.4
2001,2020/07/18,23.5,18.6,28.5
2001,2020/07/19,24.8,16.9,30.6
2001,2020/07/20,26.8,19.1,32.3
