Id Sensore,Data-Ora,Valore Medio Giornaliero, Minimo Valore Medio Orario, Massimo Valore Medio Orario
2002,2020/05/01,79.3,54.3,99.0
2002,2020/05/02,54.3,24.5,99.0
2002,2020/05/03,47.8,31.5,72.5
2002,2020/05/04,40.1,26.7,59.5
2002,2020/05/05,57.2,42.8,79.0
2002,2020/05/06,68.1,47.2,97.2
2002,2020/05/07,52.5,26.0,92.5
2002,2020/05/08,43.5,26.0,79.5
2002,2020/05/09,36.0,23.0,58.7
2002,2020/05/10,57.9,33.3,91.7
2002,2020/05/11,93.3,76.2,99.0
2002,2020/05/12,76.8,43.8,99.0
2002,2020/05/13,89.8,83.2,97.5
2002,2020/05/14,74.5,48.2,98.8
2002,2020/05/15,78.6,53.0,98.7
2002,2020/05/16,73.0,54.0,93.7
2002,2020/05/17,74.8,45.8,99.0
2002,2020/05/18,65.3,45.5,92.2
2002,2020/05/19,79.4,53.3,99.0
2002,2020/05/20,67.7,41.8,99.0
2002,2020/05/21,55.4,38.3,77.7
2002,2020/05/22,55.8,40.8,80.0
2002,2020/05/23,61.7,42.5,93.3
2002,2020/05/24,61.9,35.3,96.5
2002,2020/05/25,47.1,29.7,73.8
2002,2020/05/26,50.4,33.5,76.7
2002,2020/05/27,46.0,29.2,66.2
2002,2020/05/28,48.9,34.0,76.7
2002,2020/05/29,54.2,34.5,82.3
2002,2020/05/30,54.4,35.8,83.2
2002,2020/05/31,61.6,39.5,89.3
2002,2020/06/01,54.6,33.0,79.5
2002,2020/06/02,60.3,30.8,98.2
2002,2020/06/03,69.5,44.5,99.0
2002,2020/06/04,91.8,78.3,98.7
2002,2020/06/05,63.8,30.7,99.0
2002,2020/06/06,64.6,45.5,90.5
2002,2020/06/07,85.7,68.7,99.0
2002,2020/06/08,88.6,60.3,99.0
2002,2020/06/09,74.6,44.7,99.0
2002,2020/06/10,77.1,57.3,98.3
2002,2020/06/11,81.8,56.8,98.0
2002,2020/06/12,64.9,42.2,97.2
2002,2020/06/13,72.7,40.7,96.0
2002,2020/06/14,73.9,44.5,98.0
2002,2020/06/15,77.8,53.8,99.0
2002,2020/06/16,74.3,48.7,98.0
2002,2020/06/17,77.1,56.0,99.0
2002,2020/06/18,67.5,48.0,92.2
2002,2020/06/19,64.9,36.2,95.2
2002,2020/06/20,60.2,35.0,95.8
2002,2020/06/21,44.8,22.5,89.8
2002,2020/06/22,46.9,27.8,71.0
2002,2020/06/23,48.1,29.2,70.7
2002,2020/06/24,56.5,40.5,80.0
2002,2020/06/25,57.7,44.8,77.8
2002,2020/06/26,63.3,36.3,88.0
2002,2020/06/27,62.5,40.5,89.0
2002,2020/06/28,55.9,30.5,95.7
2002,2020/06/29,54.6,40.5,69.2
2002,2020/06/30,63.0,46.2,77.5
2002,2020/07/01,60.2,42.5,85.3
2002,2020/07/02,63.9,41.7,88.5
2002,2020/07/03,70.0,42.7,98.5
2002,2020/07/04,68.2,44.0,98.3
2002,2020/07/05,65.8,42.8,97.7
2002,2020/07/06,60.9,27.5,95.2
2002,2020/07/07,46.5,22.7,68.3
2002,2020/07/08,46.4,34.5,78.0
2002,2020/07/09,58.8,37.2,87.8
2002,2020/07/10,58.9,35.2,89.7
2002,2020/07/11,65.3,43.3,84.8
2002,2020/07/12,60.3,37.0,98.0
2002,2020/07/13,48.8,36.5,64.8
2002,2020/07/14,50.5,35.2,74.0
2002,2020/07/15,65.7,39.7,90.7
2002,2020/07/16,63.0,32.8,97.0
2002,2020/07/17,64.4,49.7,81.8
2002,2020/07/18,56.1,38.8,76.3
2002,2020/07/19,49.4,33.7,80.5
2002,2020/07/20,53.8,36.0,80.5
2002,2020/07/21,53.9,39.8,70.8
2002,2020/07/22,58.1,33.3,85.3
2002,2020/07/23,64.3,41.3,91.7
2002,2020/07/24,87.6,68.3,99.8
2002,2020/07/25,69.9,34.8,99.0
2002,2020/07/26,62.6,39.2,91.5
2002,2020/07/27,62.9,42.5,87.2
2002,2020/07/28,66.5,41.7,93.7
2002,2020/07/29,68.2,48.8,93.7
2002,2020/07/30,58.3,44.2,78.3
2002,2020/07/31,57.2,38.3,78.3
2002,2020/08/01,59.7,31.3,88.2
2002,2020/08/02,62.9,44.2,90.2
2002,2020/08/03,83.6,55.5,99.0
2002,2020/08/04,52.5,36.7,69.7
2002,2020/08/05,57.8,36.8,89.5
2002,2020/08/06,59.5,37.2,85.2
2002,2020/08/07,65.8,45.2,91.3
2002,2020/08/08,59.2,31.8,87.8
2002,2020/08/09,58.8,32.5,89.2
2002,2020/08/10,58.1,35.2,84.0
2002,2020/08/11,61.3,41.7,86.8
2002,2020/08/12,65.4,49.0,89.2
2002,2020/08/13,68.6,45.3,94.8
2002,2020/08/14,63.9,42.0,94.5
2002,2020/08/15,64.1,43.5,91.0
2002,2020/08/16,69.0,46.8,87.0
2002,2020/08/17,68.1,52.3,86.5
2002,2020/08/18,65.9,41.7,92.2
2002,2020/08/19,60.4,36.0,91.3
2002,2020/08/20,63.6,42.7,84.3
2002,2020/08/21,62.0,38.8,89.5
2002,2020/08/22,59.3,29.7,89.8
2002,2020/08/23,61.5,41.3,84.5
2002,2020/08/24,64.1,38.8,91.8
2002,2020/08/25,55.7,36.0,75.0
2002,2020/08/26,61.9,41.7,83.3
2002,2020/08/27,66.7,43.5,92.3
2002,2020/08/28,79.5,60.8,97.8
2002,2020/08/29,89.0,75.7,98.0
2002,2020/08/30,72.2,39.5,95.0
2002,2020/08/31,71.7,41.8,99.0
2002,2020/09/01,62.1,26.2,99.0
2002,2020/09/02,68.0,49.2,89.3
2002,2020/09/03,67.1,37.8,96.8
2002,2020/09/04,65.6,38.2,93.3
2002,2020/09/05,61.9,34.5,96.7
2002,2020/09/06,55.9,34.7,80.8
2002,2020/09/07,81.3,61.7,97.0
2002,2020/09/08,71.0,44.8,96.2
2002,2020/09/09,71.2,44.3,98.0
2002,2020/09/10,73.2,48.8,97.8
2002,2020/09/11,70.7,48.8,88.2
2002,2020/09/12,69.6,41.8,97.2
2002,2020/09/13,69.2,38.0,96.5
2002,2020/09/14,66.6,42.3,90.2
2002,2020/09/15,64.1,38.8,92.3
2002,2020/09/16,63.8,39.7,88.2
2002,2020/09/17,60.8,34.0,88.0
2002,2020/09/18,57.5,39.8,80.5
2002,2020/09/19,65.2,49.7,89.0
2002,2020/09/20,70.7,44.7,94.5
2002,2020/09/21,76.7,55.7,90.8
2002,2020/09/22,89.9,72.0,98.8
2002,2020/09/23,80.6,51.8,98.0
2002,2020/09/24,87.5,68.5,97.2
2002,2020/09/25,71.9,37.3,95.7
2002,2020/09/26,31.7,20.3,54.5
2002,2020/09/27,67.0,42.2,95.2
2002,2020/09/28,64.2,31.7,97.0
2002,2020/09/29,70.1,44.5,90.3
2002,2020/09/30,73.4,46.7,98.0
2002,2020/10/01,80.8,63.0,96.3
2002,2020/10/02,90.0,76.3,97.0
2002,2020/10/03,72.0,45.3,92.8
2002,2020/10/04,73.7,41.5,94.7
2002,2020/10/05,83.5,56.0,99.0
2002,2020/10/06,81.1,57.5,99.0
2002,2020/10/07,66.3,24.8,97.5
2002,2020/10/08,70.0,34.7,99.0
2002,2020/10/09,81.5,54.0,99.0
2002,2020/10/10,80.8,50.8,100.0
2002,2020/10/11,92.8,79.7,100.0
2002,2020/10/12,72.8,34.5,99.5
2002,2020/10/13,69.0,27.8,99.5
2002,2020/10/14,72.2,42.3,98.7
2002,2020/10/15,96.5,85.3,99.0
2002,2020/10/16,88.1,56.8,100.0
2002,2020/10/17,85.5,53.2,99.7
2002,2020/10/18,87.7,59.5,99.8
